,Daily_Return,Beta,Annual_Volatility,Security,GICS Sector
BEN,-0.00026317186392536785,1.215402666478895,0.3201925083331881,Franklin Resources,Financials
BF-B,-0.0006585143636682505,0.5896657659521939,0.25259428351579283,Brown–Forman,Consumer Staples
BG,2.1476045229640395e-05,0.5269510537140691,0.2911589195174617,Bunge Global,Consumer Staples
BIIB,-0.00039858159200311375,0.8255386059604676,0.3512140075927356,Biogen,Health Care
BK,0.0006146001901546048,0.910487462440363,0.25081245219012477,BNY Mellon,Financials
BKNG,0.0011536654666274423,1.1334487259558774,0.32246977831630924,Booking Holdings,Consumer Discretionary
BKR,0.0009893584276044047,0.7135895117498903,0.3425767215303244,Baker Hughes,Energy
BLDR,0.0011354206089824142,1.5346368634892626,0.4585671942706465,Builders FirstSource,Industrials
BLK,0.00040442330439449534,1.1989117504585107,0.2686089094542164,BlackRock,Financials
BMY,0.0001371291629479573,0.2802519814721996,0.2296488765548347,Bristol Myers Squibb,Health Care
BR,0.00047318003032971294,0.8762254290410881,0.2322474735365727,Broadridge Financial Solutions,Industrials
BRK-B,0.0006052247988126209,0.7043738346423276,0.17379274785783463,Berkshire Hathaway,Financials
BRO,0.0006708361018400876,0.8337111563719436,0.24472319108061183,Brown & Brown,Financials
BSX,0.0010626845493819062,0.6814709960362805,0.21757950603400683,Boston Scientific,Health Care
BX,0.0008764330841363763,1.707990572290632,0.40557268694938825,Blackstone Inc.,Financials
BXP,-0.00016519701739106898,1.055544698427806,0.35149511871508926,"BXP, Inc.",Real Estate
C,0.00046685090063836975,1.0144683985902934,0.28559876645447785,Citigroup,Financials
CAG,-1.1673738348304056e-05,0.27595133666222255,0.2184326229973303,Conagra Brands,Consumer Staples
CAH,0.0012929618126764,0.42077602677527776,0.2344603254613631,Cardinal Health,Health Care
CARR,0.0005949933158414819,1.156198856656895,0.3074578499920522,Carrier Global,Industrials
CASY,0.001087126779118837,0.6039870073713302,0.262403254850439,Casey's,Consumer Staples
CAT,0.0009978137939748476,0.9143523892129913,0.2954900396029555,Caterpillar Inc.,Industrials
CB,0.0006311241156136987,0.5133803028715636,0.20284699227163228,Chubb Limited,Financials
CBOE,0.0007078449294174309,0.30413912527875236,0.21637402846699286,Cboe Global Markets,Financials
CBRE,0.0004313477135350739,1.132832432864753,0.3022201119703044,CBRE Group,Real Estate
CCI,-0.0007548956823493194,0.7027641918094222,0.26975039126427397,Crown Castle,Real Estate
CCL,0.0008818873200278639,1.9626705030170293,0.5833741386793058,Carnival,Consumer Discretionary
CDNS,0.0008973810757218556,1.414492820144079,0.34827193722799565,Cadence Design Systems,Information Technology
CDW,-1.675035665471322e-05,1.041041751077926,0.2765074502812218,CDW Corporation,Information Technology
CEG,0.0026300431779463784,1.0050672650264532,0.43412544247962853,Constellation Energy,Utilities
CF,0.0006091716675352659,0.5147451849295408,0.3721709478379823,CF Industries,Materials
CFG,0.00028673601759797337,1.1519822264635553,0.3602603892967281,Citizens Financial Group,Financials
CHD,0.00016728494111675968,0.29573039988255484,0.20294558214344566,Church & Dwight,Consumer Staples
CHRW,0.0002258600507479605,0.6317134021783155,0.3047425889904381,C.H. Robinson,Industrials
CHTR,-0.0005581267568904522,0.9235477018981848,0.37895223727867194,Charter Communications,Communication Services
CI,0.00043115174147004926,0.4691446819282711,0.2712962032877074,Cigna,Health Care
CIEN,0.00043414253390848046,1.2563597685057644,0.3989975074204705,Ciena,Information Technology
CINF,0.0005704412473952232,0.7496533374986241,0.2716166992494537,Cincinnati Financial,Financials
CL,0.0002506096845651329,0.3078112123532921,0.1737131807702337,Colgate-Palmolive,Consumer Staples
CLX,0.00016594474776677657,0.3720929714899382,0.26149357167805143,Clorox,Consumer Staples
CMCSA,-0.0001523763835291346,0.7624809093912083,0.2611988690367545,Comcast,Communication Services
CME,0.000305764726030558,0.3836879647854877,0.20204788192982215,CME Group,Financials
CMG,0.0009824817215372975,1.092849408777952,0.32879706483572557,Chipotle Mexican Grill,Consumer Discretionary
CMI,0.0008488430161833041,0.8163172527155044,0.2558591308226815,Cummins,Industrials
CMS,0.0002445230019473045,0.36809348425359095,0.20011471114672758,CMS Energy,Utilities
CNC,-0.00023765918255835923,0.5096291979341634,0.29680092787145174,Centene Corporation,Health Care
CNP,0.00037749690664800955,0.506064779843447,0.21007027415142046,CenterPoint Energy,Utilities
COF,0.000571720232158136,1.2916116109284708,0.3546630383970769,Capital One,Financials
COHR,0.0010117203492947067,1.7614523562461406,0.5643306367164236,Coherent Corp.,Information Technology
COIN,0.00176813184667861,2.9609591653634406,0.9538475500092551,Coinbase,Financials
COO,-2.992680199995094e-05,0.9436413028088326,0.27786580236196107,Cooper Companies (The),Health Care
COP,0.0007538570738318518,0.5907973186840328,0.3254850365430159,ConocoPhillips,Energy
COR,0.0008199815984134523,0.3609132856363935,0.1950589947869686,Cencora,Health Care
COST,0.0008096630440950635,0.8835420716908579,0.23872852173861556,Costco,Consumer Staples
CPAY,0.0006787937106698338,1.0859628108169737,0.2940685443168739,Corpay,Financials
CPB,0.0001683157284364499,0.13366548097944683,0.22311870560495414,Campbell's Company (The),Consumer Staples
CPRT,0.0007350548568496016,1.0927403829134061,0.2679182317742846,Copart,Industrials
CPT,-0.00030263888402243624,0.7196614100265462,0.24014927082474416,Camden Property Trust,Real Estate
CRH,0.0010677973802304818,1.1397631035953601,0.30452855502531584,CRH plc,Materials
CRL,-0.0005875903251676128,1.2640030024079072,0.39399674869044504,Charles River Laboratories,Health Care
CRM,0.0006599194133138384,1.4355141526785409,0.3840662733159055,Salesforce,Information Technology
CRWD,0.0012794831201214686,1.7140235705731635,0.5272539716977549,CrowdStrike,Information Technology
CSCO,0.00014480106183967917,0.7979338281557354,0.230790988848453,Cisco,Information Technology
CSGP,0.0001050728371946922,1.1330381551713868,0.3439519924361119,CoStar Group,Real Estate
CSX,-1.9746587039251584e-05,0.8190806175398305,0.237334160536172,CSX Corporation,Industrials
CTAS,0.000867523229662978,0.9148335199585462,0.2301902383044085,Cintas,Industrials
CTRA,0.000815861647267259,0.699398391769547,0.34655547481845855,Coterra,Energy
CTSH,6.2769632691090765e-06,0.9784022277213347,0.26791510636477034,Cognizant,Information Technology
CTVA,0.0004551331862126753,0.6500894833908115,0.27900814405132457,Corteva,Materials
CVNA,0.003219470226556452,3.2940680996994947,1.341038783329175,Carvana,Consumer Discretionary
CVS,-0.0008161336870859276,0.5248966956107363,0.29540956612297486,CVS Health,Health Care
CVX,0.0005446818571030054,0.5230770607408654,0.2576933191150371,Chevron Corporation,Energy
D,-0.00020479256005777633,0.38600500631026363,0.23407353856359522,Dominion Energy,Utilities
DAL,0.0008312004874671038,1.261914522347584,0.36851329480403083,Delta Air Lines,Industrials
DASH,0.00087502870050694,2.00491822199532,0.5876445186780712,DoorDash,Consumer Discretionary
DD,0.00015836360871811288,0.9891870229098152,0.27874500967119553,DuPont,Materials
DDOG,0.0005038249907150339,1.9508667249068952,0.5917185610558077,Datadog,Information Technology
DE,0.00047542562987105887,0.7656214272391252,0.289812024374314,Deere & Company,Industrials
DECK,0.0019152606916182375,1.2795943363998754,0.4062332080323051,Deckers Brands,Consumer Discretionary
DELL,0.0014548503201558414,1.3277490652844732,0.4696062742924952,Dell Technologies,Information Technology
DG,-0.0011438237288684044,0.5258483115624113,0.37865413669296377,Dollar General,Consumer Staples
DGX,5.763219968323609e-05,0.46529454455389524,0.21344905954205937,Quest Diagnostics,Health Care
DHI,0.0006691884618242041,1.158004102023543,0.3572085686913918,D. R. Horton,Consumer Discretionary
DHR,-0.00010026937280051923,0.9624427500903476,0.2725354534070864,Danaher Corporation,Health Care
DIS,-0.0002558140264847299,1.0323736620284694,0.30274599647052086,Walt Disney Company (The),Communication Services
DLR,0.0003549087048769694,0.9776107507518181,0.3088838990836869,Digital Realty,Real Estate
DLTR,-0.0005473302288042449,0.6832756617422564,0.3805503309687773,Dollar Tree,Consumer Staples
DOC,-0.0004146681024937178,0.7811927137936454,0.2670215537096819,Healthpeak Properties,Real Estate
DOV,0.00023849189139814748,0.9716170490354162,0.24389427728048776,Dover Corporation,Industrials
DOW,-0.0001363536589283659,0.7740697932289071,0.2462316767005339,Dow Inc.,Materials
DPZ,-0.00012597418541312563,0.7668965759663543,0.30802018422076033,Domino's,Consumer Discretionary
DRI,0.0005865081035063708,0.8262266433251726,0.27183556521358454,Darden Restaurants,Consumer Discretionary
DTE,0.00022996012388438024,0.41179891144098696,0.19989046495714127,DTE Energy,Utilities
DUK,0.0002855577781353735,0.3507956176973236,0.18824662374857,Duke Energy,Utilities
DVA,0.0006324527361617414,0.5221436855863986,0.3715020781879703,DaVita,Health Care
DVN,0.00010258459422980586,0.8663409527043273,0.39691657086871446,Devon Energy,Energy
DXCM,-0.00014175669980953269,1.1939262012625445,0.5037477188445376,Dexcom,Health Care
EA,0.0002248156850484898,0.5952203258584335,0.2183951464114199,Electronic Arts,Communication Services
EBAY,0.00017005455934915388,1.076910906457021,0.3080544081552164,eBay Inc.,Consumer Discretionary
ECL,0.00020516034086399487,0.9800929630950532,0.2580628625594761,Ecolab,Materials
ED,0.00027289434518541766,0.32025680864803513,0.18937414001451994,Consolidated Edison,Utilities
EFX,9.232330429919705e-05,1.2002619856816323,0.3239312330858091,Equifax,Industrials
EG,0.0006010103252814127,0.5792624188349099,0.26663921164778165,Everest Group,Financials
EIX,0.0004831262346755998,0.5854364309771964,0.22649624857759584,Edison International,Utilities
EL,-0.0016952727460190348,1.2460953877848964,0.4223023437530305,Estée Lauder Companies (The),Consumer Staples
ELV,-0.00013324269064916408,0.5074777305647706,0.25061179626115654,Elevance Health,Health Care
EME,0.001871343757012553,0.8932584800172898,0.289157913711309,Emcor,Industrials
EMR,0.0006141793742109634,0.9329924572747995,0.25382961260954173,Emerson Electric,Industrials
EOG,0.0008175602361629121,0.6137333139664447,0.3360036610299529,EOG Resources,Energy
EPAM,-0.0005525185117069475,1.5195260164080022,0.6023634033512658,EPAM Systems,Information Technology
EQIX,0.00039934642234532703,0.9711970496184458,0.28698322827634076,Equinix,Real Estate
EQR,-6.586885312543107e-05,0.7466954563908333,0.23155403854217124,Equity Residential,Real Estate
EQT,0.0014460956019515785,0.9613588342402163,0.44019561814391,EQT Corporation,Energy
ERIE,0.0012400237991334654,0.5737955370239074,0.2834454821084589,Erie Indemnity,Financials
ES,-0.00031725315761647963,0.45553365740973856,0.23778089169848626,Eversource Energy,Utilities
ESS,-2.9174241036121335e-05,0.7683842045861449,0.24523578800052015,Essex Property Trust,Real Estate
ETN,0.0011201626833071635,1.0690128400554841,0.275215405744546,Eaton Corporation,Industrials
ETR,0.0006743703001400315,0.4394296412616469,0.23193222554930112,Entergy,Utilities
EVRG,0.00011403401707651278,0.4487182168942289,0.2027598395313214,Evergy,Utilities
EW,-0.0004415104845706474,0.9490001221901242,0.36832970169404483,Edwards Lifesciences,Health Care
EXC,0.00013469651311578292,0.45914408736022044,0.21904985174647157,Exelon,Utilities
EXE,0.0010230030101193025,0.7653197171620595,0.35576734749351574,Expand Energy,Energy
EXPD,-4.793068809976182e-05,0.8162418090200094,0.25135334798290354,Expeditors International,Industrials
EXPE,0.00040658721579401214,1.358658127916838,0.4447687862898805,Expedia Group,Consumer Discretionary
EXR,-0.00016400206363388124,0.8865886512857338,0.3056957476544311,Extra Space Storage,Real Estate
F,-0.00045103384439908206,1.3713368139057716,0.40563158319944914,Ford Motor Company,Consumer Discretionary
FANG,0.0009789063744904873,0.7137871020804941,0.3583968091532026,Diamondback Energy,Energy
FAST,0.0004216915692369397,0.8719377839299594,0.24671393215791404,Fastenal,Industrials
FCX,0.0002984906444852475,1.3469743470439106,0.42268631930658235,Freeport-McMoRan,Materials
FDS,0.00016169382202029357,0.7938358835584021,0.23946890181899042,FactSet,Financials
FDX,0.0004294673534211762,0.945469904267618,0.3410380492243402,FedEx,Industrials
FE,0.00019285747710905265,0.43178908895919016,0.19768511883322828,FirstEnergy,Utilities
FFIV,0.00021350602004749112,1.1022566669808707,0.28938956552266526,"F5, Inc.",Information Technology
FICO,0.0022668718533206157,1.2480462201359832,0.3746982315207208,Fair Isaac,Information Technology
FIS,-0.00010051241978033815,1.0143115072516475,0.3486233568480909,Fidelity National Information Services,Financials
FISV,0.0009725309820480076,0.8903202962769422,0.2383078108016412,Fiserv,Financials
FITB,0.0003167981820651404,1.1345595109507398,0.3390468357679234,Fifth Third Bancorp,Financials
FIX,0.0022637615073897504,1.2159697493827586,0.3883322047083708,Comfort Systems USA,Industrials
FOX,0.0005456287857835021,0.6855335309554017,0.2523688170705237,Fox Corporation (Class B),Communication Services
FOXA,0.0005316956761447577,0.671319108433112,0.2600891467399998,Fox Corporation (Class A),Communication Services
FRT,1.9323609491821837e-06,0.8100632507325686,0.2373958101250049,Federal Realty Investment Trust,Real Estate
FSLR,0.0014541907043624253,1.0553355411573333,0.5283668502452736,First Solar,Information Technology
FTNT,0.0008723853654652159,1.3697675302802272,0.44951048338613003,Fortinet,Information Technology
FTV,0.00016547416565530608,1.0325503215542513,0.24836036836866243,Fortive,Industrials
GD,0.0004840774988991943,0.5622103516572572,0.19961456794195742,General Dynamics,Industrials
GDDY,0.0013047330992088158,1.0515788154742132,0.29846167243883304,GoDaddy,Information Technology
GE,0.0015617546305297775,1.0273779706783812,0.30247933901299057,GE Aerospace,Industrials
GEN,0.00034252436871795415,0.7510679538563853,0.3192735848297821,Gen Digital,Information Technology
GILD,0.0005931592308080083,0.4494774098759175,0.23583316655124895,Gilead Sciences,Health Care
GIS,0.00013276425064704395,0.13324947256648192,0.1984330288571275,General Mills,Consumer Staples
GL,0.0007013356302351636,0.5940553227223548,0.41683454976916784,Globe Life,Financials
GLW,0.0005983059674757207,0.948474890803709,0.2729794213756195,Corning Inc.,Information Technology
GM,0.00011895858615981747,1.2760117422788495,0.3685439253641885,General Motors,Consumer Discretionary
GNRC,-0.0004513723869177354,1.8475703510465333,0.5545900495512087,Generac,Industrials
GOOG,0.0005795195681920764,1.3375241575525472,0.3276205688134741,Alphabet Inc. (Class C),Communication Services
GOOGL,0.000571999369134873,1.3355987150339705,0.327440689614059,Alphabet Inc. (Class A),Communication Services
GPC,3.500237504043163e-05,0.7284109570792243,0.2717455044913779,Genuine Parts Company,Consumer Discretionary
GPN,-5.2110098875692363e-05,1.1631465098274925,0.3354713714072731,Global Payments,Financials
GRMN,0.0008406967122280173,0.9128967519544485,0.29288964569554027,Garmin,Consumer Discretionary
GS,0.0007395345728438637,1.0086702583123142,0.2652641571076906,Goldman Sachs,Financials
GWW,0.0011341493079564979,0.8146125424430793,0.25439317163056446,W. W. Grainger,Industrials
HAL,0.0005468454519938508,0.8236557619103919,0.3951819320501544,Halliburton,Energy
HAS,-0.0004106746466721903,0.899028375716992,0.3293309455025513,Hasbro,Consumer Discretionary
HBAN,0.0004450288406603427,1.0413932409918232,0.3281026443128239,Huntington Bancshares,Financials
HCA,0.00044931845817536303,0.8474291816039723,0.3066627503967255,HCA Healthcare,Health Care
HD,0.00015953641482087668,0.9235394880254543,0.24904258700554643,Home Depot (The),Consumer Discretionary
HIG,0.0007904609414844388,0.6922206301630232,0.22699623580407097,Hartford (The),Financials
HII,0.00028046924143731793,0.5683528377290086,0.28511110269660905,Huntington Ingalls Industries,Industrials
HLT,0.0007844905004397938,1.0534451601325248,0.2710863949666434,Hilton Worldwide,Consumer Discretionary
HON,0.0002865680578459156,0.7714805766032645,0.20650374359277873,Honeywell,Industrials
HOOD,0.0017684602613867813,1.9848279564216902,0.6517594922190679,Robinhood Markets,Financials
HPE,0.0007214286345141007,1.1210490292586492,0.3418113001653053,Hewlett Packard Enterprise,Information Technology
HPQ,0.00015604833804843182,1.1435929480241827,0.33878253481107873,HP Inc.,Information Technology
HRL,-0.00037603174720582096,0.2366071158713997,0.23260299632749337,Hormel Foods,Consumer Staples
HSIC,-2.5727876980214722e-05,0.6037438464227017,0.2499198214540694,Henry Schein,Health Care
HST,0.0003557653359934038,1.1114551731378988,0.3091157259123129,Host Hotels & Resorts,Real Estate
HSY,2.9507212699642013e-06,0.27179482912695124,0.2129053072475973,Hershey Company (The),Consumer Staples
HUBB,0.0011844312643709814,0.9707927600804939,0.29289111314143657,Hubbell Incorporated,Industrials
HUM,-0.0005328891886706747,0.40835191506048957,0.34175975046364127,Humana,Health Care
HWM,0.0018174721250997913,1.0925740400976818,0.3060032098555176,Howmet Aerospace,Industrials
IBKR,0.0012889866928981308,0.870094215810143,0.30444118657674896,Interactive Brokers,Financials
IBM,0.0009044756548360408,0.5742062597556102,0.21317714266065677,IBM,Information Technology
ICE,0.00028967685181654633,0.7605883484218363,0.21543051627070672,Intercontinental Exchange,Financials
IDXX,-0.00033003546353246546,1.2693637030766651,0.34244354931517834,Idexx Laboratories,Health Care
IEX,2.0591906621503406e-05,0.8197877004039402,0.22646845751135003,IDEX Corporation,Industrials
IFF,-0.0004165373530272789,0.9007882854442208,0.3272475281246548,International Flavors & Fragrances,Materials
INCY,5.461490734267392e-05,0.5178184564297522,0.27185530005654196,Incyte,Health Care
INTC,-0.0008166702318125771,1.398487782319029,0.43218611036163895,Intel,Information Technology
INTU,0.00028167387470655927,1.5741649572584226,0.3632351166316887,Intuit,Information Technology
INVH,-0.0002033212490464771,0.8408545913914977,0.24799057006218325,Invitation Homes,Real Estate
IP,0.000541546163310438,0.7327368569429554,0.29362391531724846,International Paper,Materials
IQV,-0.00024801599916066146,1.1925519124441621,0.31216426263254526,IQVIA,Health Care
IR,0.0007229970011922293,1.159972542114138,0.2869743902776693,Ingersoll Rand,Industrials
IRM,0.0012756619970932866,0.9165149431847927,0.28712247444188693,Iron Mountain,Real Estate
ISRG,0.0007238859446563573,1.301603088007438,0.3405115794385899,Intuitive Surgical,Health Care
IT,0.0007041797965769302,1.1045069843845503,0.2854618841616871,Gartner,Information Technology
ITW,0.00023516971968001805,0.8231113767777867,0.21059306256362392,Illinois Tool Works,Industrials
IVZ,5.572687336145352e-05,1.4197074609844782,0.35776897397432855,Invesco,Financials
J,0.0003320604050753415,0.8724975989220605,0.24445001047583406,Jacobs Solutions,Industrials
JBHT,-1.6668526830234847e-05,0.9375356848460684,0.2921364762952236,J.B. Hunt,Industrials
JBL,0.0012353768255609389,1.2266301875817205,0.3696719878462596,Jabil,Information Technology
JCI,0.00024550239801576703,1.040718044116498,0.2816964545214991,Johnson Controls,Industrials
JKHY,0.0001888822814368344,0.6406432125347034,0.23513482911599815,Jack Henry & Associates,Financials
JNJ,-5.833446481414552e-05,0.24660976423961095,0.16375885420398756,Johnson & Johnson,Health Care
JPM,0.0007587545444200973,0.8669341315316137,0.2499128681204534,JPMorgan Chase,Financials
KDP,-1.1779050496187196e-05,0.37647679957230695,0.18868993610455592,Keurig Dr Pepper,Consumer Staples
KEY,0.00016339227280214,1.269158755160962,0.4312443934363412,KeyCorp,Financials
KEYS,-0.00011430014836757025,1.207949019303524,0.31264391605280095,Keysight Technologies,Information Technology
KHC,4.887171600767747e-05,0.24973924349128276,0.21095131535986125,Kraft Heinz,Consumer Staples
KIM,0.0002583918774358758,0.9298464799748253,0.2682407538074114,Kimco Realty,Real Estate
KKR,0.0012562262639446225,1.6535733223688482,0.381598866997785,KKR & Co.,Financials
KLAC,0.0008969253853646382,1.7582187369053293,0.4247210789493843,KLA Corporation,Information Technology
KMB,0.00010220239587269939,0.2910217602504617,0.18561365863792825,Kimberly-Clark,Consumer Staples
KMI,0.0010229290064741078,0.6030845987445959,0.21541179220682408,Kinder Morgan,Energy
KO,0.00023339750622141186,0.3892347617656691,0.15619306787253628,Coca-Cola Company (The),Consumer Staples
KR,0.0006211921896908238,0.3126639395767137,0.25781698348210014,Kroger,Consumer Staples
L,0.0005926203312997993,0.6621489512246048,0.19608579641192667,Loews Corporation,Financials
LDOS,0.0008057982029656733,0.4969956351742518,0.2539367954855013,Leidos,Industrials
LEN,0.0005618611232574463,1.1910340566328008,0.346763090658326,Lennar,Consumer Discretionary
LH,7.906285745998867e-06,0.6543345771701612,0.23450278077246375,Labcorp,Health Care
LHX,0.00019526274482488615,0.41766527006566934,0.24513604902129293,L3Harris,Industrials
LII,0.00112314644189698,1.138270681662584,0.31015876791917923,Lennox International,Industrials
LIN,0.00043438151312635387,0.8144519841894791,0.2218971620413709,Linde plc,Materials
LITE,0.00014127120785032663,1.4595056958650097,0.4813657917007286,Lumentum,Information Technology
LLY,0.001591533315405012,0.5756946980402069,0.28785573431195743,Lilly (Eli),Health Care
LMT,0.0006110293849807118,0.24386511041648112,0.20952979898201318,Lockheed Martin,Industrials
LNT,0.000183152852615045,0.4404227195434086,0.20956301942071548,Alliant Energy,Utilities
LOW,0.0001733178370797391,0.9540107846841736,0.2678894128546457,Lowe's,Consumer Discretionary
LRCX,0.00044679386729474916,1.8455846886898195,0.45122958981398564,Lam Research,Information Technology
LULU,0.000315434290953213,1.3591291630736075,0.41002815351624916,Lululemon Athletica,Consumer Discretionary
LUV,-4.4737466941447905e-05,0.9622337793717233,0.35054460667438825,Southwest Airlines,Industrials
LVS,0.0007313353515364782,1.0890957550864657,0.4070111521404168,Las Vegas Sands,Consumer Discretionary
LYB,0.00010422083986205198,0.7781214001051417,0.2605420921620487,LyondellBasell,Materials
LYV,0.0003316435416413665,1.1752639685567536,0.3496213326364106,Live Nation Entertainment,Communication Services
MA,0.0005941278807849664,0.9747120531250555,0.22996327495038693,Mastercard,Financials
MAA,-0.00025550922976609575,0.7352376789129501,0.23452528545880047,Mid-America Apartment Communities,Real Estate
MAR,0.0009022243111751097,1.0727487993310851,0.283688173090054,Marriott International,Consumer Discretionary
MAS,0.000308438006034906,1.065279210060323,0.29548477737947804,Masco,Industrials
MCD,0.0002523251837152541,0.46379878857391443,0.1735117601651129,McDonald's,Consumer Discretionary
MCHP,-0.0001793945430450166,1.6375558710998992,0.3968085275020452,Microchip Technology,Information Technology
MCK,0.0012373659678489152,0.2889211575561707,0.23386244839677572,McKesson Corporation,Health Care
MCO,0.00045208655823977936,1.107823814846747,0.26272681303823764,Moody's Corporation,Financials
MDLZ,3.319821558693906e-05,0.45667414524201544,0.18496015093209653,Mondelez International,Consumer Staples
MDT,-0.00015575000808309582,0.5893449210789687,0.21553737053643895,Medtronic,Health Care
MET,0.0005913730163964181,0.8258836010957178,0.2488616152271331,MetLife,Financials
META,0.0012124670764097239,1.724087800718939,0.48722224229762,Meta Platforms,Communication Services
MGM,-5.956742367590452e-05,1.454514304269933,0.38815347842262815,MGM Resorts,Consumer Discretionary
MKC,-0.00010638357591909058,0.39350023333512035,0.24125744947490962,McCormick & Company,Consumer Staples
